Using cpu device

🎯 Start training block 0
---------------------------------
| rollout/           |          |
Player is above the ball, penalty applied (-1).
Player is getting closer to the ball, reward applied (+0.1).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Ball touching ground on ai's side, penalty applied (-70).
Player is above the ball, penalty applied (-1).
💾 Saving model at block 60

🎯 Start training block 61
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 69.6     |
|    ep_rew_mean     | 30.1     |
| time/              |          |
|    fps             | 623      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 1875968  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70          |
|    ep_rew_mean          | 32.4        |
| time/                   |             |
|    fps                  | 550         |
|    iterations           | 2           |
|    time_elapsed         | 7           |
|    total_timesteps      | 1878016     |
| train/                  |             |
|    approx_kl            | 0.021598594 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.44        |
|    learning_rate        | 0.0003      |
|    loss                 | 168         |
|    n_updates            | 9160        |
|    policy_gradient_loss | -0.00473    |
|    value_loss           | 459         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 69         |
|    ep_rew_mean          | 19         |
| time/                   |            |
|    fps                  | 537        |
|    iterations           | 3          |
|    time_elapsed         | 11         |
|    total_timesteps      | 1880064    |
| train/                  |            |
|    approx_kl            | 0.04678672 |
|    clip_fraction        | 0.115      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.942     |
|    explained_variance   | 0.506      |
|    learning_rate        | 0.0003     |
|    loss                 | 145        |
|    n_updates            | 9170       |
|    policy_gradient_loss | -0.00118   |
|    value_loss           | 346        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 66.3       |
|    ep_rew_mean          | 23.4       |
| time/                   |            |
|    fps                  | 525        |
|    iterations           | 4          |
|    time_elapsed         | 15         |
|    total_timesteps      | 1882112    |
| train/                  |            |
|    approx_kl            | 0.02997702 |
|    clip_fraction        | 0.126      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.986     |
|    explained_variance   | 0.522      |
|    learning_rate        | 0.0003     |
|    loss                 | 287        |
|    n_updates            | 9180       |
|    policy_gradient_loss | -0.000559  |
|    value_loss           | 544        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 69.3       |
|    ep_rew_mean          | 15.9       |
| time/                   |            |
|    fps                  | 522        |
|    iterations           | 5          |
|    time_elapsed         | 19         |
|    total_timesteps      | 1884160    |
| train/                  |            |
|    approx_kl            | 0.01096415 |
|    clip_fraction        | 0.0943     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.02      |
|    explained_variance   | 0.524      |
|    learning_rate        | 0.0003     |
|    loss                 | 168        |
|    n_updates            | 9190       |
|    policy_gradient_loss | -0.00302   |
|    value_loss           | 537        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.6        |
|    ep_rew_mean          | 25.7        |
